repeat,od_idx,origin,dest,alpha,method,punctuality_prob,correct,solve_time
1,2,46,51,0.5,MILP,0.864,True,0.12470388412475586
1,2,46,51,0.5,Dijkstra,0.864,True,0.00026541399984125746
1,2,46,51,0.6,ILP,0.944,True,0.3255422115325928
1,2,46,51,0.6,MILP,0.944,True,0.11963868141174316
1,2,46,51,0.6,Dijkstra,0.944,True,0.00026690400000006775
1,2,46,51,0.7,ILP,0.978,True,0.14713358879089355
1,2,46,51,0.7,MILP,0.978,True,0.09726810455322266
1,2,46,51,0.7,Dijkstra,0.978,True,0.00030159800007822923
1,2,46,51,0.8,ILP,0.988,True,0.14135289192199707
1,2,46,51,0.8,MILP,0.988,True,0.10015177726745605
1,2,46,51,0.8,Dijkstra,0.988,True,0.00030652399982500356
1,2,46,51,0.9,ILP,0.992,True,0.1388533115386963
1,2,46,51,0.9,MILP,0.992,False,0.10189270973205566
1,2,46,51,0.9,Dijkstra,0.992,True,0.0002893830001085007
1,3,33,8,0.5,ILP,0.994,True,0.1096808910369873
1,3,33,8,0.5,MILP,0.994,True,0.12361717224121094
1,3,33,8,0.5,Dijkstra,0.994,True,0.0004584510002132447
1,3,33,8,0.6,ILP,0.998,True,0.09980416297912598
1,3,33,8,0.6,MILP,0.998,True,0.11010527610778809
1,3,33,8,0.6,Dijkstra,0.998,True,0.00027951199990639
1,3,33,8,0.7,ILP,0.998,True,0.09207725524902344
1,3,33,8,0.7,MILP,0.998,True,0.10227441787719727
1,3,33,8,0.7,Dijkstra,0.998,True,0.00031150199993135175
1,3,33,8,0.8,ILP,0.998,True,0.09893393516540527
1,3,33,8,0.8,MILP,0.998,True,0.11044025421142578
1,3,33,8,0.8,Dijkstra,0.998,True,0.00029084800007694867
1,3,33,8,0.9,ILP,0.998,True,0.10402822494506836
1,3,33,8,0.9,MILP,0.998,True,0.10575723648071289
1,3,33,8,0.9,Dijkstra,0.998,True,0.00030512800003634766
1,4,54,29,0.5,ILP,0.9319999999999999,True,1.043483018875122
1,4,54,29,0.5,MILP,0.9319999999999999,True,0.13690423965454102
1,4,54,29,0.5,Dijkstra,0.9319999999999999,True,0.00031841700001677964
1,4,54,29,0.6,ILP,0.972,True,0.47962450981140137
1,4,54,29,0.6,MILP,0.972,True,0.10022091865539551
1,4,54,29,0.6,Dijkstra,0.972,True,0.0003128589996777009
1,4,54,29,0.7,ILP,0.99,True,0.1295616626739502
1,4,54,29,0.7,MILP,0.99,True,0.09373211860656738
1,4,54,29,0.7,Dijkstra,0.99,True,0.00031133099992075586
1,4,54,29,0.8,ILP,0.994,True,0.1263575553894043
1,4,54,29,0.8,MILP,0.994,True,0.09782290458679199
1,4,54,29,0.8,Dijkstra,0.994,True,0.0002851869999176415
1,4,54,29,0.9,ILP,0.996,True,0.11224484443664551
1,4,54,29,0.9,MILP,0.996,True,0.09688115119934082
1,4,54,29,0.9,Dijkstra,0.996,True,0.00031761300033394946
1,5,32,24,0.5,ILP,0.942,True,0.42707061767578125
1,5,32,24,0.5,MILP,0.942,True,0.10138201713562012
1,5,32,24,0.5,Dijkstra,0.942,True,0.0003065639998567349
1,5,32,24,0.6,ILP,0.974,True,0.20923304557800293
1,5,32,24,0.6,MILP,0.974,True,0.1143491268157959
1,5,32,24,0.6,Dijkstra,0.974,True,0.00036813500037169433
1,5,32,24,0.7,ILP,0.984,True,0.21722078323364258
1,5,32,24,0.7,MILP,0.984,False,0.11406970024108887
1,5,32,24,0.7,Dijkstra,0.984,False,0.00027497300015966175
1,5,32,24,0.8,ILP,0.994,True,0.18099570274353027
1,5,32,24,0.8,MILP,0.994,True,0.09417915344238281
1,5,32,24,0.8,Dijkstra,0.994,True,0.0003171160001329554
1,5,32,24,0.9,ILP,0.998,True,0.1439671516418457
1,5,32,24,0.9,MILP,0.998,True,0.09600663185119629
1,5,32,24,0.9,Dijkstra,0.998,True,0.00029837900001439266
1,6,50,41,0.5,ILP,0.996,True,0.11283516883850098
1,6,50,41,0.5,MILP,0.996,True,0.09969329833984375
1,6,50,41,0.5,Dijkstra,0.996,True,0.00030011499984539114
1,6,50,41,0.6,ILP,0.996,True,0.10697770118713379
1,6,50,41,0.6,MILP,0.996,True,0.09853172302246094
1,6,50,41,0.6,Dijkstra,0.996,True,0.0002567599999565573
1,6,50,41,0.7,ILP,0.996,True,0.11014294624328613
1,6,50,41,0.7,MILP,0.996,True,0.09695672988891602
1,6,50,41,0.7,Dijkstra,0.996,True,0.0002611680001791683
1,6,50,41,0.8,ILP,0.998,True,0.10200357437133789
1,6,50,41,0.8,MILP,0.998,True,0.09577655792236328
1,6,50,41,0.8,Dijkstra,0.998,True,0.0002735409998422256
1,6,50,41,0.9,ILP,0.998,True,0.0996558666229248
1,6,50,41,0.9,MILP,0.998,True,0.0945894718170166
1,6,50,41,0.9,Dijkstra,0.998,True,0.00030609599980380153
1,7,26,53,0.5,ILP,0.976,True,0.24875426292419434
1,7,26,53,0.5,MILP,0.954,False,0.4040555953979492
1,7,26,53,0.5,Dijkstra,0.976,True,0.0003217059997950855
1,7,26,53,0.6,ILP,0.982,True,0.24007391929626465
1,7,26,53,0.6,MILP,0.98,False,0.15322089195251465
1,7,26,53,0.6,Dijkstra,0.982,True,0.00031437100005859975
1,7,26,53,0.7,ILP,0.992,True,0.1278226375579834
1,7,26,53,0.7,MILP,0.992,False,0.1277782917022705
1,7,26,53,0.7,Dijkstra,0.986,False,0.000305495999782579
1,7,26,53,0.8,ILP,0.996,True,0.10682845115661621
1,7,26,53,0.8,MILP,0.994,False,0.13536858558654785
1,7,26,53,0.8,Dijkstra,0.992,False,0.0003019330001734488
